Observation	System_A	System_B	Difference
154	0.34118000	0.35094000	-0.00976000
155	0.33850000	0.39535000	-0.05685000
156	0.34023000	0.37490000	-0.03467000
157	0.34044000	0.36120000	-0.02076000
158	0.33791000	0.34777000	-0.00986000
159	0.33589000	0.36154000	-0.02565000
160	0.34618000	0.36434000	-0.01816000
161	0.33186000	0.34809000	-0.01623000
162	0.34048000	0.34777000	-0.00729000
163	0.34586000	0.35820000	-0.01234000
164	0.33021000	0.35375000	-0.02354000
165	0.33736000	0.35964000	-0.02228000
166	0.32742000	0.36976000	-0.04234000
167	0.34593000	0.37075000	-0.02482000
168	0.32335000	0.37145000	-0.04810000
169	0.33580000	0.34930000	-0.01350000
170	0.32959000	0.34693000	-0.01734000
171	0.32957000	0.38887000	-0.05930000
172	0.31686000	0.37657000	-0.05971000
173	0.32007000	0.34508000	-0.02501000
174	0.31814000	0.34380000	-0.02566000
175	0.31879000	0.37858000	-0.05979000
176	0.30906000	0.37240000	-0.06334000
177	0.31545000	0.36273000	-0.04728000
178	0.31037000	0.35824000	-0.04787000
179	0.32920000	0.37487000	-0.04567000
180	0.33680000	0.37321000	-0.03641000
181	0.33877000	0.34206000	-0.00329000
182	0.32605000	0.33461000	-0.00856000
183	0.32709000	0.37555000	-0.04846000
184	0.33197000	0.36772000	-0.03575000
185	0.32954000	0.34397000	-0.01443000
186	0.32963000	0.34306000	-0.01343000
187	0.34165000	0.38408000	-0.04243000
188	0.33961000	0.35239000	-0.01278000
189	0.34503000	0.34332000	0.00171000
190	0.34819000	0.35547000	-0.00728000
191	0.31651000	0.36752000	-0.05101000
192	0.33539000	0.36365000	-0.02826000
193	0.32584000	0.35122000	-0.02538000
194	0.34955000	0.34467000	0.00488000
195	0.33689000	0.34758000	-0.01069000
196	0.32950000	0.37386000	-0.04436000
197	0.33913000	0.33912000	0.00001000
198	0.32942000	0.33572000	-0.00630000
199	0.33613000	0.37446000	-0.03833000
200	0.32441000	0.36933000	-0.04492000
201	0.32767000	0.35393000	-0.02626000
202	0.33663000	0.33231000	0.00432000
203	0.32716000	0.35864000	-0.03148000
204	0.33299000	0.35767000	-0.02468000
205	0.32305000	0.36204000	-0.03899000
206	0.31638000	0.34102000	-0.02464000
207	0.31722000	0.35550000	-0.03828000
208	0.31228000	0.35891000	-0.04663000
209	0.30909000	0.35054000	-0.04145000
210	0.36689000	0.33506000	0.03183000
211	0.37505000	0.36791000	0.00714000
212	0.36746000	0.36084000	0.00662000
213	0.37711000	0.35765000	0.01946000
214	0.35704000	0.33044000	0.02660000
215	0.36466000	0.36091000	0.00375000
216	0.36518000	0.35388000	0.01130000
217	0.36036000	0.33465000	0.02571000
218	0.37939000	0.32796000	0.05143000
219	0.36216000	0.36611000	-0.00395000
220	0.36752000	0.35458000	0.01294000
221	0.36762000	0.31580000	0.05182000
222	0.35739000	0.34129000	0.01610000
223	0.34824000	0.36183000	-0.01359000
224	0.37276000	0.34750000	0.02526000
225	0.34637000	0.34343000	0.00294000
226	0.34800000	0.34380000	0.00420000
227	0.34634000	0.36059000	-0.01425000
228	0.36001000	0.35828000	0.00173000
229	0.34260000	0.32815000	0.01445000
230	0.34660000	0.33539000	0.01121000
231	0.34183000	0.35288000	-0.01105000
232	0.33576000	0.33860000	-0.00284000
233	0.34848000	0.30735000	0.04113000
234	0.34217000	0.32122000	0.02095000
235	0.33843000	0.35994000	-0.02151000
236	0.33654000	0.33321000	0.00333000
237	0.33240000	0.31625000	0.01615000
238	0.35049000	0.31822000	0.03227000
239	0.33053000	0.33490000	-0.00437000
240	0.37265000	0.39495000	-0.02230000
241	0.37280000	0.37442000	-0.00162000
242	0.37454000	0.34018000	0.03436000
243	0.38144000	0.37925000	0.00219000
244	0.35710000	0.38092000	-0.02382000
245	0.37164000	0.38262000	-0.01098000
246	0.36147000	0.34697000	0.01450000
247	0.36785000	0.39990000	-0.03205000
248	0.37000000	0.38463000	-0.01463000
249	0.35966000	0.37918000	-0.01952000
250	0.35987000	0.34435000	0.01552000
251	0.37545000	0.36654000	0.00891000
252	0.36398000	0.36863000	-0.00465000
253	0.36439000	0.38073000	-0.01634000
254	0.35285000	0.35046000	0.00239000
255	0.37595000	0.38570000	-0.00975000
256	0.35285000	0.38186000	-0.02901000
257	0.35761000	0.36202000	-0.00441000
258	0.35164000	0.35717000	-0.00553000
259	0.35022000	0.39512000	-0.04490000
260	0.35744000	0.37483000	-0.01739000
261	0.35281000	0.38010000	-0.02729000
262	0.35439000	0.34490000	0.00949000
263	0.35134000	0.36473000	-0.01339000
264	0.34914000	0.37347000	-0.02433000
265	0.34523000	0.36389000	-0.01866000
266	0.32779000	0.35644000	-0.02865000
267	0.34072000	0.38228000	-0.04156000
268	0.33249000	0.36628000	-0.03379000
269	0.33374000	0.37389000	-0.04015000
270	0.34696000	0.34716000	-0.00020000
271	0.35790000	0.37796000	-0.02006000
